Date,Mean_NDVI,Min_NDVI,Max_NDVI
01-04,0.7099342830602247,0.6599342830602246,0.7599342830602247
15-04,0.5892509006593653,0.5392509006593652,0.6392509006593653
01-05,0.37430254900138,0.32430254900138,0.42430254900138
15-05,0.23772514277164752,0.18772514277164754,0.2877251427716475
01-06,0.25818924546275795,0.20818924546275797,0.30818924546275794
15-06,0.475451430924847,0.425451430924847,0.525451430924847
01-07,0.7029482627234502,0.6529482627234502,0.7529482627234503
15-07,0.6867127009963608,0.6367127009963608,0.7367127009963609
01-08,0.4707446823451319,0.4207446823451319,0.5207446823451319
15-08,0.2737235138289441,0.22372351382894412,0.3237235138289441
01-09,0.19799619178723768,0.14799619178723766,0.2479961917872377
15-09,0.3520341831679608,0.3020341831679608,0.4020341831679608
01-10,0.5968554321141093,0.5468554321141093,0.6468554321141093
15-10,0.661734395106844,0.6117343951068439,0.711734395106844
